MSKG,DeltaT,KE,XE,n
M0,1,1.0,0.1923,1.388
M1,1,1.0,0.2957,8.0007
M2,1,2.0,0.48,2.0
M3,1,6.0,0.48,6.0
M4,1,6.0,0.3,6.0
M5,1,5.0,0.3,5.0
M6,1,6.0,0.3,6.0
M7,1,9.0,0.3,9.0
M8,1,14.0,0.3,14.0
M9,1,2.0,0.3,2.0
M10,1,4.0,0.3,4.0
M11,1,5.0,0.3,5.0
M12,1,26.0,0.3,26.0
M13,1,2.0,0.3,2.0
M14,1,5.0,0.3,5.0
