wu0,wl0,wd0,s0,fr0,qi0,qg0,qt0
17.0379,57.9600,35.2000,0.0000,0.8654,0.0000,0.0845,0.1029
17.0379,57.9600,35.1007,0.0000,0.8039,0.0000,0.0816,0.0994
17.0379,57.9600,35.1399,0.0000,0.8149,0.0000,0.0821,0.1000
17.0379,57.9600,35.2000,0.0000,0.8600,0.0000,0.0843,0.1026
17.0379,57.9600,35.2000,0.0000,0.9279,0.0000,0.0874,0.1065
17.0379,57.9600,31.5489,0.0000,0.5983,0.0000,0.0114,0.0114
17.0379,57.9600,31.5489,0.0000,0.5983,0.0000,0.0114,0.0114
17.0379,57.9600,31.5489,0.0000,0.5983,0.0000,0.0133,0.0133
17.0379,57.9600,31.5489,0.0000,0.5983,0.0000,0.0133,0.0133
17.0379,57.9600,31.5489,0.0000,0.5983,0.0000,0.0133,0.0133
17.0379,57.9600,31.5489,0.0000,0.5983,0.0000,0.0133,0.0133
17.0379,57.9600,31.5489,0.0000,0.5983,0.0000,0.0133,0.0133
17.0379,57.9600,31.5489,0.0000,0.5983,0.0000,0.0133,0.0133
17.0379,57.9600,31.5489,0.0000,0.5983,0.0000,0.0133,0.0133
17.0379,57.9600,31.5489,0.0000,0.5983,0.0000,0.0133,0.0133
17.0379,57.9600,31.5489,0.0000,0.5983,0.0000,0.0133,0.0133
17.0379,57.9600,31.5489,0.0000,0.5983,0.0000,0.0108,0.0108
17.0379,57.9600,31.5489,0.0000,0.5983,0.0000,0.0108,0.0108
17.0379,57.9600,31.5489,0.0000,0.5983,0.0000,0.0612,0.0745
17.0379,57.9600,31.5489,0.0000,0.5983,0.0000,0.0108,0.0108
17.0379,57.9600,34.4859,0.0000,0.7255,0.0000,0.0760,0.0925
17.0379,57.9600,31.5489,0.0000,0.5983,0.0000,0.0611,0.0745
17.0379,57.9600,31.5489,0.0000,0.5983,0.0000,0.0611,0.0745
17.0379,57.9600,31.5489,0.0000,0.5983,0.0000,0.0611,0.0745
17.0379,57.9600,31.5489,0.0000,0.5983,0.0000,0.0611,0.0745
