MSKG,DeltaT,KE,XE,n
M0,24,24,0.48,1
M1,24,24,0.48,1
M2,24,24,0.48,1
M3,24,24,0.48,1
M4,24,24,0.30,1
M5,24,24,0.30,1
M6,24,24,0.30,1
M7,24,24,0.30,1
M8,24,24,0.30,1
M9,24,24,0.30,1
M10,24,24,0.30,1
M11,24,24,0.30,1
M12,24,24,0.30,1
M13,24,24,0.30,1
M14,24,24,0.30,1
